name,description,pathway
IL12B,interleukin 12B (natural killer cell stimulatory factor 2  cytotoxic lymphocyte maturation factor 2  p40),Inflammatory_Response_&_Autoimmunity
IL15,interleukin 15,Inflammatory_Response_&_Autoimmunity
EED,embryonic ectoderm development,Polycomb_&_Trithorax_Complexes
AR,androgen receptor,Stem_Cell_Transcription_Factors
NFYA,nuclear transcription factor Y  alpha,Stem_Cell_Transcription_Factors
PCNA,proliferating cell nuclear antigen,Stem_Cell_Transcription_Factors
RUNX2,runt-related transcription factor 2,Stem_Cell_Transcription_Factors
SMAD2,SMAD family member 2,Stem_Cell_Transcription_Factors
SOX2,SRY (sex determining region Y)-box 2,Stem_Cell_Transcription_Factors
SMAD2,SMAD family member 2,TGF_f_BMP_Signaling_Pathway
TGIF1,TGFB-induced factor homeobox 1,TGF_f_BMP_Signaling_Pathway
IRF8,interferon regulatory factor 8,Toll-Like_Receptor_Signaling_Pathway
RIPK2,receptor-interacting serine-threonine kinase 2,Toll-Like_Receptor_Signaling_Pathway
TLR2,toll-like receptor 2,Toll-Like_Receptor_Signaling_Pathway
CXXC4,CXXC finger 4,WNT_Signaling_Pathway
